time_s,gpu_total_MB,gpu_process_MB,cpu_rss_MB
240.39,11476.0,1635.0,0.9
243.03,11476.0,1635.0,0.9
244.16,11476.0,1635.0,0.9
245.22,11476.0,1635.0,0.9
246.32,11476.0,1635.0,0.9
247.43,11476.0,1635.0,0.9
249.87,11556.0,1715.0,0.9
250.96,11556.0,1715.0,0.9
252.03,11556.0,1715.0,0.9
253.1,11556.0,1715.0,0.9
254.18,11556.0,1715.0,0.9
257.18,11556.0,1715.0,0.9
258.28,11556.0,1715.0,0.9
259.33,11556.0,1715.0,0.9
260.42,11556.0,1715.0,0.9
261.5,11576.0,1735.0,0.9
263.99,11576.0,1735.0,0.9
265.08,11576.0,1735.0,0.9
266.2,11476.0,1635.0,0.9
267.29,11578.0,1737.0,0.9
268.37,11578.0,1737.0,0.9
271.06,11578.0,1737.0,0.9
272.17,11582.0,1741.0,0.9
273.27,11582.0,1741.0,0.9
274.4,11582.0,1741.0,0.9
275.46,11582.0,1741.0,0.9
276.57,11582.0,1741.0,0.9
278.68,11582.0,1741.0,0.9
279.81,11582.0,1741.0,0.9
280.95,11582.0,1741.0,0.9
282.05,11582.0,1741.0,0.9
283.11,11666.0,1825.0,0.9
285.91,11666.0,1825.0,0.9
286.97,11666.0,1825.0,0.9
288.05,11666.0,1825.0,0.9
289.18,11666.0,1825.0,0.9
290.25,11666.0,1825.0,0.9
293.22,11666.0,1825.0,0.9
294.33,11666.0,1825.0,0.9
295.45,11666.0,1825.0,0.9
296.58,11666.0,1825.0,0.9
297.7,11666.0,1825.0,0.9
300.32,11666.0,1825.0,0.9
301.41,11666.0,1825.0,0.9
302.51,11666.0,1825.0,0.9
303.61,11672.0,1831.0,0.9
304.73,11672.0,1831.0,0.9
307.6,11680.0,1839.0,0.9
308.74,11680.0,1839.0,0.9
309.83,11680.0,1839.0,0.9
310.93,11680.0,1839.0,0.9
312.02,11680.0,1839.0,0.9
314.54,11680.0,1839.0,0.9
315.6,11680.0,1839.0,0.9
